id,name,feels_like,humidity,pressure,temperature,temp_max,temp_min,weather,wind_speed,datetime,timezone,country,sunrise,sunset,latitude,longitude,clouds
6559559,Horishni Plavni,273.56,65,1029,277.25,277.25,277.25,clear sky,2.06,1586059832,10800,UA,1586056434,1586103705,49.01,33.65,0
5282297,Bethel,278.0,61,1017,281.22,283.71,279.26,overcast clouds,1.98,1586059832,-14400,US,1586082545,1586128972,41.37,-73.41,90
2037494,Erdaojiang,273.48,42,1025,278.51,278.51,278.51,clear sky,3.24,1586059832,28800,CN,1586034714,1586081091,41.78,126.03,0
6165406,Thompson,258.13,85,1018,263.15,263.15,263.15,light snow,2.6,1586059832,-18000,CA,1586001162,1586049324,55.74,-97.86,75
3439781,Treinta y Tres,286.35,69,1013,287.69,287.69,287.69,clear sky,1.57,1586059832,-10800,UY,1586080348,1586122036,-33.23,-54.38,0
3874787,Punta Arenas,267.88,80,983,277.58,278.15,277.04,broken clouds,11.3,1586059832,-10800,CL,1586085264,1586125058,-53.15,-70.92,75
6089245,Norman Wells,258.08,78,1016,264.15,264.15,264.15,light snow,4.1,1586059832,-21600,CA,1586006931,1586057457,65.28,-126.83,75
4035715,Avarua,304.1,88,1007,301.15,301.15,301.15,light rain,5.7,1586059833,-36000,CK,1586018850,1586061351,-21.21,-159.78,100
2012593,Zeya,270.29,81,1024,273.27,273.27,273.27,overcast clouds,0.9,1586059833,32400,RU,1586033646,1586081564,53.75,127.27,99
2136825,Isangel,304.99,79,1006,302.15,302.15,302.15,light intensity shower rain,5.1,1586059833,39600,VU,1586026234,1586068820,-19.55,169.27,90
3448903,São João da Barra,296.31,76,1015,296.39,296.39,296.39,broken clouds,4.59,1586059833,-10800,BR,1586076779,1586119208,-21.64,-41.05,74
5848280,Kapaa,300.8,69,1013,299.28,300.15,298.71,broken clouds,3.1,1586059833,-36000,US,1586017584,1586062397,22.08,-159.32,75
6185377,Yellowknife,254.45,65,1019,259.46,260.93,258.71,few clouds,2.1,1586059701,-21600,CA,1586004370,1586054029,62.46,-114.35,20
1649150,Bengkulu,304.1,79,1013,299.74,299.74,299.74,overcast clouds,0.98,1586059833,25200,ID,1586041901,1586085306,-3.8,102.27,100
5880054,Barrow,257.67,78,998,265.15,265.15,265.15,overcast clouds,6.2,1586059833,-28800,US,1586012755,1586066011,71.29,-156.79,90
240210,Birao,295.75,23,1007,298.4,298.4,298.4,overcast clouds,1.55,1586059833,3600,CF,1586060599,1586104751,10.28,22.79,100
563637,Dzheguta,276.04,61,1023,278.74,278.74,278.74,overcast clouds,0.75,1586059833,10800,RU,1586054731,1586101381,43.97,42.04,98
5866583,Saint Paul Harbor,280.41,40,1016,284.15,284.15,284.15,clear sky,2.1,1586059834,-28800,US,1586014033,1586062631,57.79,-152.41,1
3883457,Lebu,280.55,75,1016,285.61,285.61,285.61,clear sky,6.61,1586059834,-14400,CL,1586085138,1586126494,-37.62,-73.65,0
3598787,Champerico,303.52,76,1012,300.8,300.8,300.8,light rain,3.62,1586059834,-21600,GT,1586001644,1586045991,14.3,-91.92,1
5106841,Albany,280.55,66,1016,282.96,285.15,280.93,overcast clouds,1.5,1586059828,-14400,US,1586082614,1586129171,42.6,-73.97,90
2392601,Natitingou,297.56,61,1012,299.15,299.15,299.15,broken clouds,6.2,1586059895,3600,BJ,1586065735,1586109890,10.3,1.38,75
2122605,Okhotsk,262.61,87,1020,266.54,266.54,266.54,few clouds,1.43,1586059895,36000,RU,1586029262,1586078255,59.38,143.3,15
2162683,Innisfail,303.22,64,1017,300.93,300.93,300.93,clear sky,2.24,1586059895,36000,AU,1586031757,1586074450,-17.53,146.03,0
2126123,Chokurdakh,250.73,90,1011,257.54,257.54,257.54,clear sky,4.79,1586059895,39600,RU,1586026169,1586079131,70.63,147.92,0
3355672,Lüderitz,283.52,93,1011,286.15,286.15,286.15,scattered clouds,4.6,1586059896,7200,NA,1586063435,1586105576,-26.65,15.16,45
700796,Tsybuliv,271.08,68,1031,275.44,275.44,275.44,clear sky,2.82,1586059896,10800,UA,1586057339,1586104623,49.08,29.85,0
935215,Saint-Philippe,297.86,65,1013,296.7,298.15,293.15,few clouds,1.5,1586059896,14400,RE,1586053530,1586095993,-21.36,55.77,21
2281951,Sassandra,304.38,83,1010,300.15,300.15,300.15,clear sky,2.15,1586059896,0,CI,1586067671,1586111534,4.95,-6.08,1
2070998,Geraldton,300.89,28,1013,303.15,303.15,303.15,broken clouds,3.1,1586059896,28800,AU,1586039627,1586081663,-28.77,114.6,54
3430863,Mar del Plata,289.91,93,1010,290.16,290.93,289.15,mist,3.13,1586059896,-10800,AR,1586081289,1586122621,-38.0,-57.56,75
108410,Riyadh,291.23,26,1020,294.15,294.15,294.15,clear sky,1.5,1586059821,10800,SA,1586054425,1586099441,24.69,46.72,0
1282256,Hithadhoo,303.1,79,1012,300.53,300.53,300.53,light rain,4.15,1586059897,18000,MV,1586048823,1586092393,-0.6,73.08,98
2112309,Katsuura,280.77,71,1011,286.56,289.82,283.71,shower rain,7.7,1586059897,32400,JP,1586031597,1586077359,35.13,140.3,75
3366880,Hermanus,289.81,91,1010,289.26,289.26,289.26,overcast clouds,1.34,1586059897,7200,ZA,1586062715,1586104344,-34.42,19.23,99
